,Bucket,Campaign Name,Income FY21,Income FY20,FY21 as % of FY20
0,1: Individual Giving,Sponsor a Scholar,"$12,420.45 ","$25,213.95 ",49.30%
2,1: Individual Giving,Appeal - June,"$9,641.00 ","$25,295.00 ",38.10%
8,1: Individual Giving,Benefit dinner tickets,"$4,817.12 ","$4,010.00 ",120.10%
9,1: Individual Giving,Benefit dinner individual donations,"$8,250.40 ","$2,825.00 ",292.00%
10,1: Individual Giving,Benefit dinner auction,"$9,808.13 ","$11,491.00 ",85.40%
12,1: Individual Giving,Events - not recurring,$309.30 ,"$2,920.00 ",10.60%
13,1: Individual Giving,Events - Ecuador,$0.00 ,"$1,213.60 ",0.00%
14,1: Individual Giving,Birthdays and weddings,"$1,667.52 ","$6,049.31 ",27.60%
15,1: Individual Giving,Unsolicited Gifts,"$5,178.48 ","$30,005.66 ",17.30%
16,2: Major Donors,Benefit dinner sponsorships (5),"$50,000.00 ","$87,500.00 ",57.10%
18,3: Grants,Grants,$750.00 ,$0.00 ,inf%
19,4: Corporations,Benefit dinner sponsorships (1),$520.56 ,$500.00 ,104.10%
20,4: Corporations,Matching donations (10),"$2,413.26 ","$1,769.19 ",136.40%
22,5: Earned Revenue,Benefit dinner item sales,$601.06 ,"$1,183.00 ",50.80%
23,5: Earned Revenue,Pura Vida sales,$5.00 ,$5.00 ,100.00%
24,5: Earned Revenue,Dream Book sales,$0.00 ,$0.00 ,nan%
25,5: Earned Revenue,Popsocket sales,$0.00 ,$0.00 ,nan%
26,5: Earned Revenue,Photo sales,$0.00 ,$40.00 ,0.00%
27,5: Earned Revenue,Speaking events,$0.00 ,$414.00 ,0.00%
28,5: Earned Revenue,Amazon Smile,$32.35 ,$192.33 ,16.80%
29,5: Earned Revenue,CafePress,$0.00 ,$0.00 ,nan%
30,5: Earned Revenue,Goodshop,$0.00 ,$0.00 ,nan%
