Campaign Name,Bucket,Income FY21,In-Kind Donations FY21,Volunteer Hours FY21,Income FY20,In-Kind Donations FY20,Volunteer Hours FY20
Sponsor a Scholar,1: Individual Giving,"$12,420.45 ",$0.00 ,30,"$25,213.95 ",$0.00 ,75
Sponsor a Scholar - Fund a Thon,1: Individual Giving,,$0.00 ,,"$3,610.00 ",$3.50 ,20
Appeal - June,1: Individual Giving,"$9,641.00 ",$0.00 ,27,"$25,295.00 ",$341.23 ,20
Appeal - December,1: Individual Giving,,$0.00 ,,"$9,637.11 ",$459.55 ,20
Online appeal - Giving Tuesday,1: Individual Giving,,$0.00 ,,"$8,544.94 ","$1,499.08 ",36
Online event - Starfish Search,1: Individual Giving,,$0.00 ,,"$1,268.00 ",$7.50 ,50
Online event - Starfish Bracket Challenge,1: Individual Giving,,$0.00 ,5,"$1,115.00 ",$230.00 ,30
Lapsed Donors,1: Individual Giving,,$0.00 ,,$400.00 ,$0.00 ,8
Benefit dinner tickets,1: Individual Giving,"$1,919.10 ",$140.00 ,298,"$2,898.02 ",$244.79 ,240
Benefit dinner individual donations,1: Individual Giving,"$7,596.29 ",$0.00 ,0,$654.11 ,$0.00 ,0
Benefit dinner auction,1: Individual Giving,"$9,808.13 ","$2,164.97 ",14,$0.00 ,"$7,078.09 ",138
Events - CT/NE,1: Individual Giving,,$0.00 ,,$309.00 ,$22.00 ,10
Events - not recurring,1: Individual Giving,$309.30 ,$0.00 ,0,"$2,920.00 ","$3,578.27 ",60
Events - Ecuador,1: Individual Giving,$0.00 ,$0.00 ,0,"$1,213.60 ",$0.00 ,80
Birthdays and weddings,1: Individual Giving,"$1,667.52 ",$0.00 ,3,"$6,049.31 ",$0.00 ,3
Unsolicited Gifts,1: Individual Giving,"$5,178.48 ",$0.00 ,3,"$30,005.66 ",$0.00 ,3
Benefit dinner sponsorships (5),2: Major Donors,"$3,000.00 ",$0.00 ,3,"$47,000.00 ",$0.00 ,54
University Efforts,2: Major Donors,,$0.00 ,1,"$1,016.00 ",$0.00 ,1
Grants,3: Grants,$750.00 ,$0.00 ,6,$0.00 ,$0.00 ,1
Benefit dinner sponsorships (1),4: Corporations,$520.56 ,$0.00 ,1,$0.00 ,$0.00 ,0
Matching donations (10),4: Corporations,"$2,413.26 ",$0.00 ,6,"$1,769.19 ",$0.00 ,6
Ecua vols/visitors,5: Earned Revenue,$0.00 ,$0.00 ,0,"$5,487.46 ",$0.00 ,
Benefit dinner item sales,5: Earned Revenue,$514.62 ,$0.00 ,1,$86.44 ,$704.94 ,10
Pura Vida sales,5: Earned Revenue,$5.00 ,$0.00 ,1,$5.00 ,$0.00 ,1
Dream Book sales,5: Earned Revenue,$0.00 ,$0.00 ,1,$0.00 ,$0.00 ,10
Popsocket sales,5: Earned Revenue,$0.00 ,$0.00 ,1,$0.00 ,$0.00 ,1
Photo sales,5: Earned Revenue,$0.00 ,$0.00 ,1,$40.00 ,$0.00 ,10
Speaking events,5: Earned Revenue,$0.00 ,$0.00 ,0,$414.00 ,$0.00 ,4
Amazon Smile,5: Earned Revenue,$32.35 ,$0.00 ,1,$192.33 ,$0.00 ,1
CafePress,5: Earned Revenue,$0.00 ,$0.00 ,0,$0.00 ,$0.00 ,0
Goodshop,5: Earned Revenue,$0.00 ,$0.00 ,0,$0.00 ,$0.00 ,0
,,,,,,,
Thank-a-thon,No bucket,,,,,,
4th quarter press,No bucket,,,,,,
